index,sentiment,gpt_Rating,reliability,utility,driving,comfort,interior,fuel_efficiency,technology
62,positive,5,1,0,1,1,0,1,0
183,negative,1,1,0,0,0,0,0,0
230,neutral,3,0,1,1,1,1,1,0
251,negative,1,0,1,0,0,1,0,1
281,positive,5,0,1,0,1,0,1,0
308,positive,5,0,1,0,1,1,1,0
312,positive,4,0,0,1,0,1,1,1
340,positive,5,0,0,1,1,1,1,0
396,negative,1,1,0,0,0,0,0,0
454,negative,1,1,0,0,0,0,0,1
475,positive,4,0,0,1,1,1,0,1
477,negative,2,0,0,0,0,1,0,0
609,positive,5,1,1,0,0,0,0,0
642,positive,4,0,0,1,0,0,1,0
650,positive,5,0,0,1,1,1,1,1
670,positive,4,0,0,1,0,1,1,1
698,negative,1,1,0,1,0,0,1,1
713,negative,1,1,0,0,0,0,0,1
727,negative,1,1,0,0,0,0,0,0
731,negative,1,1,0,1,0,0,0,1
782,positive,4,1,0,1,1,1,1,0
788,positive,5,1,0,0,0,1,1,0
802,positive,5,0,0,1,0,0,0,0
824,positive,4,1,0,1,0,1,0,1
880,negative,2,1,0,1,1,1,0,1
923,positive,5,0,0,1,0,1,0,1
966,positive,5,0,0,1,0,0,0,0
1008,positive,4,1,0,0,0,0,0,0
1038,positive,4,0,0,1,0,1,0,0
1066,positive,5,1,1,1,0,0,1,0
1082,positive,4,1,0,0,0,0,1,0
1158,positive,5,1,1,1,0,0,1,0
1192,positive,5,1,1,0,0,0,0,0
1232,positive,5,1,1,1,1,1,1,0
1235,positive,4,1,0,1,0,0,1,0
1350,positive,4,0,0,1,0,0,0,0
1374,positive,4,1,0,1,1,1,1,1
1385,positive,4,1,0,1,1,0,1,0
1402,positive,4,1,0,1,0,0,0,0
1403,neutral,3,1,1,1,1,1,0,0
1440,positive,4,1,0,1,0,1,1,0
1462,positive,5,1,0,1,0,1,1,1
1488,positive,5,1,0,1,0,0,0,0
1494,positive,5,0,0,1,0,0,0,0
1590,positive,4,1,1,0,1,0,0,0
1617,negative,1,1,0,0,0,0,0,0
1628,positive,5,0,1,0,1,0,0,0
1633,positive,5,1,1,1,0,1,0,0
1641,positive,5,1,0,0,0,0,0,0
1686,positive,5,1,0,0,0,0,0,0
1697,negative,1,1,0,0,0,0,0,0
1756,negative,1,1,0,0,0,0,0,0
1767,positive,4,1,1,1,0,0,1,0
1797,negative,1,1,1,0,1,0,1,0
1803,positive,5,1,0,1,0,0,0,0
1840,negative,1,1,0,0,0,0,0,0
1850,negative,1,1,1,1,1,1,0,1
1862,negative,1,1,1,0,1,0,1,0
1877,positive,4,1,1,1,1,1,1,0
1883,positive,5,1,1,1,1,1,1,0
1933,positive,5,1,1,0,1,1,0,0
1976,positive,4,1,1,0,1,1,0,0
1988,neutral,3,0,0,1,1,1,0,0
2097,positive,5,1,0,1,0,0,0,0
2111,positive,4,1,0,1,1,0,1,0
2183,positive,5,0,0,1,1,0,0,0
2221,positive,4,1,0,1,1,1,0,0
2222,negative,1,0,0,0,0,0,1,0
2286,positive,4,1,0,1,0,0,0,0
2319,positive,4,1,1,1,1,1,1,1
2324,negative,1,1,0,1,0,1,0,0
2485,positive,4,1,0,1,1,0,1,0
2544,positive,5,1,0,1,1,1,1,0
2587,positive,4,0,0,1,0,1,1,0
2622,positive,4,0,0,1,1,1,0,0
2629,positive,4,1,0,1,1,1,0,0
2723,positive,4,1,0,1,0,0,1,0
2733,negative,2,0,0,1,0,0,0,0
2752,positive,5,1,0,1,1,0,0,0
2778,positive,5,1,1,1,0,0,1,0
2841,positive,5,1,0,1,0,0,1,0
2851,positive,4,1,1,1,0,0,0,0
2881,positive,5,1,0,1,0,0,1,0
2902,positive,5,0,0,1,0,0,0,0
2908,positive,5,0,0,1,0,0,0,0
2933,positive,5,1,1,1,0,0,1,0
2936,positive,5,1,1,1,1,1,1,0
2983,negative,1,0,0,0,0,0,0,0
2994,negative,1,1,0,0,0,0,0,0
3087,positive,4,0,1,1,1,1,0,1
3166,positive,4,0,1,1,1,1,0,1
3224,negative,1,1,0,0,0,0,0,0
3267,positive,4,1,1,1,1,1,1,1
3325,positive,5,0,0,1,1,1,0,0
3370,negative,1,1,1,1,0,0,0,0
3388,positive,4,0,1,1,1,1,1,0
3412,positive,5,0,1,1,1,1,1,0
3446,positive,4,1,1,1,1,1,0,0
3455,positive,4,1,1,1,1,1,0,0
3485,neutral,3,1,1,1,1,1,0,0
3552,positive,5,0,0,1,0,0,1,1
3593,positive,5,1,0,1,0,0,0,0
3609,neutral,3,0,1,1,0,0,1,0
